"partner","geo","values","iso2","time","type"
"Austria","Austria",NA,"AT",2014-01-01,"incoming"
"Austria","Belgium",22,"BE",2014-01-01,"incoming"
"Austria","Bulgaria",46,"BG",2014-01-01,"incoming"
"Austria","Switzerland",69,"CH",2014-01-01,"incoming"
"Austria","Cyprus",NA,"CY",2014-01-01,"incoming"
"Austria","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Austria","Germany (until 1990 former territory of the FRG)",80,"DE",2014-01-01,"incoming"
"Austria","Denmark",5,"DK",2014-01-01,"incoming"
"Austria","Estonia",5,"EE",2014-01-01,"incoming"
"Austria","Greece",0,"EL",2014-01-01,"incoming"
"Austria","Spain",NA,"ES",2014-01-01,"incoming"
"Austria","Finland",NA,"FI",2014-01-01,"incoming"
"Austria","France",24,"FR",2014-01-01,"incoming"
"Austria","Croatia",6,"HR",2014-01-01,"incoming"
"Austria","Hungary",249,"HU",2014-01-01,"incoming"
"Austria","Ireland",0,"IE",2014-01-01,"incoming"
"Austria","Iceland",NA,"IS",2014-01-01,"incoming"
"Austria","Italy",NA,"IT",2014-01-01,"incoming"
"Austria","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Austria","Lithuania",14,"LT",2014-01-01,"incoming"
"Austria","Luxembourg",1,"LU",2014-01-01,"incoming"
"Austria","Latvia",1,"LV",2014-01-01,"incoming"
"Austria","Malta",3,"MT",2014-01-01,"incoming"
"Austria","Netherlands",NA,"NL",2014-01-01,"incoming"
"Austria","Norway",NA,"NO",2014-01-01,"incoming"
"Austria","Poland",NA,"PL",2014-01-01,"incoming"
"Austria","Portugal",NA,"PT",2014-01-01,"incoming"
"Austria","Romania",7,"RO",2014-01-01,"incoming"
"Austria","Sweden",0,"SE",2014-01-01,"incoming"
"Austria","Slovenia",7,"SI",2014-01-01,"incoming"
"Austria","Slovakia",25,"SK",2014-01-01,"incoming"
"Austria","United Kingdom",2,"UK",2014-01-01,"incoming"
"Belgium","Austria",NA,"AT",2014-01-01,"incoming"
"Belgium","Belgium",0,"BE",2014-01-01,"incoming"
"Belgium","Bulgaria",13,"BG",2014-01-01,"incoming"
"Belgium","Switzerland",51,"CH",2014-01-01,"incoming"
"Belgium","Cyprus",NA,"CY",2014-01-01,"incoming"
"Belgium","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Belgium","Germany (until 1990 former territory of the FRG)",100,"DE",2014-01-01,"incoming"
"Belgium","Denmark",4,"DK",2014-01-01,"incoming"
"Belgium","Estonia",0,"EE",2014-01-01,"incoming"
"Belgium","Greece",2,"EL",2014-01-01,"incoming"
"Belgium","Spain",NA,"ES",2014-01-01,"incoming"
"Belgium","Finland",NA,"FI",2014-01-01,"incoming"
"Belgium","France",134,"FR",2014-01-01,"incoming"
"Belgium","Croatia",1,"HR",2014-01-01,"incoming"
"Belgium","Hungary",31,"HU",2014-01-01,"incoming"
"Belgium","Ireland",2,"IE",2014-01-01,"incoming"
"Belgium","Iceland",NA,"IS",2014-01-01,"incoming"
"Belgium","Italy",NA,"IT",2014-01-01,"incoming"
"Belgium","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Belgium","Lithuania",2,"LT",2014-01-01,"incoming"
"Belgium","Luxembourg",4,"LU",2014-01-01,"incoming"
"Belgium","Latvia",1,"LV",2014-01-01,"incoming"
"Belgium","Malta",4,"MT",2014-01-01,"incoming"
"Belgium","Netherlands",NA,"NL",2014-01-01,"incoming"
"Belgium","Norway",NA,"NO",2014-01-01,"incoming"
"Belgium","Poland",NA,"PL",2014-01-01,"incoming"
"Belgium","Portugal",NA,"PT",2014-01-01,"incoming"
"Belgium","Romania",2,"RO",2014-01-01,"incoming"
"Belgium","Sweden",0,"SE",2014-01-01,"incoming"
"Belgium","Slovenia",2,"SI",2014-01-01,"incoming"
"Belgium","Slovakia",2,"SK",2014-01-01,"incoming"
"Belgium","United Kingdom",17,"UK",2014-01-01,"incoming"
"Bulgaria","Austria",NA,"AT",2014-01-01,"incoming"
"Bulgaria","Belgium",0,"BE",2014-01-01,"incoming"
"Bulgaria","Bulgaria",0,"BG",2014-01-01,"incoming"
"Bulgaria","Switzerland",4,"CH",2014-01-01,"incoming"
"Bulgaria","Cyprus",NA,"CY",2014-01-01,"incoming"
"Bulgaria","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Bulgaria","Germany (until 1990 former territory of the FRG)",4,"DE",2014-01-01,"incoming"
"Bulgaria","Denmark",0,"DK",2014-01-01,"incoming"
"Bulgaria","Estonia",0,"EE",2014-01-01,"incoming"
"Bulgaria","Greece",0,"EL",2014-01-01,"incoming"
"Bulgaria","Spain",NA,"ES",2014-01-01,"incoming"
"Bulgaria","Finland",NA,"FI",2014-01-01,"incoming"
"Bulgaria","France",0,"FR",2014-01-01,"incoming"
"Bulgaria","Croatia",0,"HR",2014-01-01,"incoming"
"Bulgaria","Hungary",0,"HU",2014-01-01,"incoming"
"Bulgaria","Ireland",0,"IE",2014-01-01,"incoming"
"Bulgaria","Iceland",NA,"IS",2014-01-01,"incoming"
"Bulgaria","Italy",NA,"IT",2014-01-01,"incoming"
"Bulgaria","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Bulgaria","Lithuania",0,"LT",2014-01-01,"incoming"
"Bulgaria","Luxembourg",0,"LU",2014-01-01,"incoming"
"Bulgaria","Latvia",0,"LV",2014-01-01,"incoming"
"Bulgaria","Malta",0,"MT",2014-01-01,"incoming"
"Bulgaria","Netherlands",NA,"NL",2014-01-01,"incoming"
"Bulgaria","Norway",NA,"NO",2014-01-01,"incoming"
"Bulgaria","Poland",NA,"PL",2014-01-01,"incoming"
"Bulgaria","Portugal",NA,"PT",2014-01-01,"incoming"
"Bulgaria","Romania",0,"RO",2014-01-01,"incoming"
"Bulgaria","Sweden",0,"SE",2014-01-01,"incoming"
"Bulgaria","Slovenia",0,"SI",2014-01-01,"incoming"
"Bulgaria","Slovakia",0,"SK",2014-01-01,"incoming"
"Bulgaria","United Kingdom",0,"UK",2014-01-01,"incoming"
"Switzerland","Austria",NA,"AT",2014-01-01,"incoming"
"Switzerland","Belgium",71,"BE",2014-01-01,"incoming"
"Switzerland","Bulgaria",14,"BG",2014-01-01,"incoming"
"Switzerland","Switzerland",0,"CH",2014-01-01,"incoming"
"Switzerland","Cyprus",NA,"CY",2014-01-01,"incoming"
"Switzerland","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Switzerland","Germany (until 1990 former territory of the FRG)",202,"DE",2014-01-01,"incoming"
"Switzerland","Denmark",12,"DK",2014-01-01,"incoming"
"Switzerland","Estonia",0,"EE",2014-01-01,"incoming"
"Switzerland","Greece",0,"EL",2014-01-01,"incoming"
"Switzerland","Spain",NA,"ES",2014-01-01,"incoming"
"Switzerland","Finland",NA,"FI",2014-01-01,"incoming"
"Switzerland","France",236,"FR",2014-01-01,"incoming"
"Switzerland","Croatia",7,"HR",2014-01-01,"incoming"
"Switzerland","Hungary",56,"HU",2014-01-01,"incoming"
"Switzerland","Ireland",0,"IE",2014-01-01,"incoming"
"Switzerland","Iceland",NA,"IS",2014-01-01,"incoming"
"Switzerland","Italy",NA,"IT",2014-01-01,"incoming"
"Switzerland","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Switzerland","Lithuania",6,"LT",2014-01-01,"incoming"
"Switzerland","Luxembourg",13,"LU",2014-01-01,"incoming"
"Switzerland","Latvia",7,"LV",2014-01-01,"incoming"
"Switzerland","Malta",23,"MT",2014-01-01,"incoming"
"Switzerland","Netherlands",NA,"NL",2014-01-01,"incoming"
"Switzerland","Norway",NA,"NO",2014-01-01,"incoming"
"Switzerland","Poland",NA,"PL",2014-01-01,"incoming"
"Switzerland","Portugal",NA,"PT",2014-01-01,"incoming"
"Switzerland","Romania",3,"RO",2014-01-01,"incoming"
"Switzerland","Sweden",0,"SE",2014-01-01,"incoming"
"Switzerland","Slovenia",3,"SI",2014-01-01,"incoming"
"Switzerland","Slovakia",3,"SK",2014-01-01,"incoming"
"Switzerland","United Kingdom",4,"UK",2014-01-01,"incoming"
"Cyprus","Austria",NA,"AT",2014-01-01,"incoming"
"Cyprus","Belgium",0,"BE",2014-01-01,"incoming"
"Cyprus","Bulgaria",0,"BG",2014-01-01,"incoming"
"Cyprus","Switzerland",0,"CH",2014-01-01,"incoming"
"Cyprus","Cyprus",NA,"CY",2014-01-01,"incoming"
"Cyprus","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Cyprus","Germany (until 1990 former territory of the FRG)",16,"DE",2014-01-01,"incoming"
"Cyprus","Denmark",0,"DK",2014-01-01,"incoming"
"Cyprus","Estonia",0,"EE",2014-01-01,"incoming"
"Cyprus","Greece",0,"EL",2014-01-01,"incoming"
"Cyprus","Spain",NA,"ES",2014-01-01,"incoming"
"Cyprus","Finland",NA,"FI",2014-01-01,"incoming"
"Cyprus","France",0,"FR",2014-01-01,"incoming"
"Cyprus","Croatia",0,"HR",2014-01-01,"incoming"
"Cyprus","Hungary",0,"HU",2014-01-01,"incoming"
"Cyprus","Ireland",0,"IE",2014-01-01,"incoming"
"Cyprus","Iceland",NA,"IS",2014-01-01,"incoming"
"Cyprus","Italy",NA,"IT",2014-01-01,"incoming"
"Cyprus","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Cyprus","Lithuania",0,"LT",2014-01-01,"incoming"
"Cyprus","Luxembourg",0,"LU",2014-01-01,"incoming"
"Cyprus","Latvia",0,"LV",2014-01-01,"incoming"
"Cyprus","Malta",0,"MT",2014-01-01,"incoming"
"Cyprus","Netherlands",NA,"NL",2014-01-01,"incoming"
"Cyprus","Norway",NA,"NO",2014-01-01,"incoming"
"Cyprus","Poland",NA,"PL",2014-01-01,"incoming"
"Cyprus","Portugal",NA,"PT",2014-01-01,"incoming"
"Cyprus","Romania",0,"RO",2014-01-01,"incoming"
"Cyprus","Sweden",0,"SE",2014-01-01,"incoming"
"Cyprus","Slovenia",0,"SI",2014-01-01,"incoming"
"Cyprus","Slovakia",0,"SK",2014-01-01,"incoming"
"Cyprus","United Kingdom",1,"UK",2014-01-01,"incoming"
"Czech Republic","Austria",NA,"AT",2014-01-01,"incoming"
"Czech Republic","Belgium",1,"BE",2014-01-01,"incoming"
"Czech Republic","Bulgaria",0,"BG",2014-01-01,"incoming"
"Czech Republic","Switzerland",4,"CH",2014-01-01,"incoming"
"Czech Republic","Cyprus",NA,"CY",2014-01-01,"incoming"
"Czech Republic","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Czech Republic","Germany (until 1990 former territory of the FRG)",6,"DE",2014-01-01,"incoming"
