"partner","geo","values","iso2","type"
"Austria","Austria",NA,"AT","incoming"
"Austria","Belgium",22,"BE","incoming"
"Austria","Bulgaria",46,"BG","incoming"
"Austria","Switzerland",69,"CH","incoming"
"Austria","Cyprus",NA,"CY","incoming"
"Austria","Czech Republic",NA,"CZ","incoming"
"Austria","Germany (until 1990 former territory of the FRG)",80,"DE","incoming"
"Austria","Denmark",5,"DK","incoming"
"Austria","Estonia",5,"EE","incoming"
"Austria","Greece",0,"EL","incoming"
"Austria","Spain",NA,"ES","incoming"
"Austria","Finland",NA,"FI","incoming"
"Austria","France",24,"FR","incoming"
"Austria","Croatia",6,"HR","incoming"
"Austria","Hungary",249,"HU","incoming"
"Austria","Ireland",0,"IE","incoming"
"Austria","Iceland",NA,"IS","incoming"
"Austria","Italy",NA,"IT","incoming"
"Austria","Liechtenstein",0,"LI","incoming"
"Austria","Lithuania",14,"LT","incoming"
"Austria","Luxembourg",1,"LU","incoming"
"Austria","Latvia",1,"LV","incoming"
"Austria","Malta",3,"MT","incoming"
"Austria","Netherlands",NA,"NL","incoming"
"Austria","Norway",NA,"NO","incoming"
"Austria","Poland",NA,"PL","incoming"
"Austria","Portugal",NA,"PT","incoming"
"Austria","Romania",7,"RO","incoming"
"Austria","Sweden",0,"SE","incoming"
"Austria","Slovenia",7,"SI","incoming"
"Austria","Slovakia",25,"SK","incoming"
"Austria","United Kingdom",2,"UK","incoming"
"Belgium","Austria",NA,"AT","incoming"
"Belgium","Belgium",0,"BE","incoming"
"Belgium","Bulgaria",13,"BG","incoming"
"Belgium","Switzerland",51,"CH","incoming"
"Belgium","Cyprus",NA,"CY","incoming"
"Belgium","Czech Republic",NA,"CZ","incoming"
"Belgium","Germany (until 1990 former territory of the FRG)",100,"DE","incoming"
"Belgium","Denmark",4,"DK","incoming"
"Belgium","Estonia",0,"EE","incoming"
"Belgium","Greece",2,"EL","incoming"
"Belgium","Spain",NA,"ES","incoming"
"Belgium","Finland",NA,"FI","incoming"
"Belgium","France",134,"FR","incoming"
"Belgium","Croatia",1,"HR","incoming"
"Belgium","Hungary",31,"HU","incoming"
"Belgium","Ireland",2,"IE","incoming"
"Belgium","Iceland",NA,"IS","incoming"
"Belgium","Italy",NA,"IT","incoming"
"Belgium","Liechtenstein",0,"LI","incoming"
"Belgium","Lithuania",2,"LT","incoming"
"Belgium","Luxembourg",4,"LU","incoming"
"Belgium","Latvia",1,"LV","incoming"
"Belgium","Malta",4,"MT","incoming"
"Belgium","Netherlands",NA,"NL","incoming"
"Belgium","Norway",NA,"NO","incoming"
"Belgium","Poland",NA,"PL","incoming"
"Belgium","Portugal",NA,"PT","incoming"
"Belgium","Romania",2,"RO","incoming"
"Belgium","Sweden",0,"SE","incoming"
"Belgium","Slovenia",2,"SI","incoming"
"Belgium","Slovakia",2,"SK","incoming"
"Belgium","United Kingdom",17,"UK","incoming"
"Bulgaria","Austria",NA,"AT","incoming"
"Bulgaria","Belgium",0,"BE","incoming"
"Bulgaria","Bulgaria",0,"BG","incoming"
"Bulgaria","Switzerland",4,"CH","incoming"
"Bulgaria","Cyprus",NA,"CY","incoming"
"Bulgaria","Czech Republic",NA,"CZ","incoming"
"Bulgaria","Germany (until 1990 former territory of the FRG)",4,"DE","incoming"
"Bulgaria","Denmark",0,"DK","incoming"
"Bulgaria","Estonia",0,"EE","incoming"
"Bulgaria","Greece",0,"EL","incoming"
"Bulgaria","Spain",NA,"ES","incoming"
