"unit","request","leg_prov","partner","geo","time","values","iso2"
"Number","Requests","Total requests","Austria","Austria",2014-01-01,0,"AT"
"Number","Requests","Total requests","Austria","Belgium",2014-01-01,44,"BE"
"Number","Requests","Total requests","Austria","Bulgaria",2014-01-01,1040,"BG"
"Number","Requests","Total requests","Austria","Switzerland",2014-01-01,238,"CH"
"Number","Requests","Total requests","Austria","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Austria","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Austria","Germany (until 1990 former territory of the FRG)",2014-01-01,251,"DE"
"Number","Requests","Total requests","Austria","Denmark",2014-01-01,20,"DK"
"Number","Requests","Total requests","Austria","Estonia",2014-01-01,12,"EE"
"Number","Requests","Total requests","Austria","Greece",2014-01-01,1,"EL"
"Number","Requests","Total requests","Austria","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Austria","Finland",2014-01-01,15,"FI"
"Number","Requests","Total requests","Austria","France",2014-01-01,93,"FR"
"Number","Requests","Total requests","Austria","Croatia",2014-01-01,49,"HR"
"Number","Requests","Total requests","Austria","Hungary",2014-01-01,1909,"HU"
"Number","Requests","Total requests","Austria","Ireland",2014-01-01,3,"IE"
"Number","Requests","Total requests","Austria","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Austria","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Austria","Liechtenstein",2014-01-01,2,"LI"
"Number","Requests","Total requests","Austria","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Austria","Luxembourg",2014-01-01,3,"LU"
"Number","Requests","Total requests","Austria","Latvia",2014-01-01,4,"LV"
"Number","Requests","Total requests","Austria","Malta",2014-01-01,9,"MT"
"Number","Requests","Total requests","Austria","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Austria","Norway",2014-01-01,30,"NO"
"Number","Requests","Total requests","Austria","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Austria","Portugal",2014-01-01,1,"PT"
"Number","Requests","Total requests","Austria","Romania",2014-01-01,75,"RO"
"Number","Requests","Total requests","Austria","Sweden",2014-01-01,51,"SE"
"Number","Requests","Total requests","Austria","Slovenia",2014-01-01,28,"SI"
"Number","Requests","Total requests","Austria","Slovakia",2014-01-01,58,"SK"
"Number","Requests","Total requests","Austria","United Kingdom",2014-01-01,21,"UK"
"Number","Requests","Total requests","Belgium","Austria",2014-01-01,60,"AT"
"Number","Requests","Total requests","Belgium","Belgium",2014-01-01,0,"BE"
"Number","Requests","Total requests","Belgium","Bulgaria",2014-01-01,77,"BG"
"Number","Requests","Total requests","Belgium","Switzerland",2014-01-01,140,"CH"
"Number","Requests","Total requests","Belgium","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Belgium","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Belgium","Germany (until 1990 former territory of the FRG)",2014-01-01,321,"DE"
"Number","Requests","Total requests","Belgium","Denmark",2014-01-01,25,"DK"
"Number","Requests","Total requests","Belgium","Estonia",2014-01-01,21,"EE"
"Number","Requests","Total requests","Belgium","Greece",2014-01-01,2,"EL"
"Number","Requests","Total requests","Belgium","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Belgium","Finland",2014-01-01,6,"FI"
"Number","Requests","Total requests","Belgium","France",2014-01-01,417,"FR"
"Number","Requests","Total requests","Belgium","Croatia",2014-01-01,2,"HR"
"Number","Requests","Total requests","Belgium","Hungary",2014-01-01,116,"HU"
"Number","Requests","Total requests","Belgium","Ireland",2014-01-01,4,"IE"
"Number","Requests","Total requests","Belgium","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Belgium","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Belgium","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Belgium","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Belgium","Luxembourg",2014-01-01,14,"LU"
"Number","Requests","Total requests","Belgium","Latvia",2014-01-01,14,"LV"
"Number","Requests","Total requests","Belgium","Malta",2014-01-01,15,"MT"
"Number","Requests","Total requests","Belgium","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Belgium","Norway",2014-01-01,47,"NO"
"Number","Requests","Total requests","Belgium","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Belgium","Portugal",2014-01-01,8,"PT"
"Number","Requests","Total requests","Belgium","Romania",2014-01-01,26,"RO"
"Number","Requests","Total requests","Belgium","Sweden",2014-01-01,50,"SE"
"Number","Requests","Total requests","Belgium","Slovenia",2014-01-01,7,"SI"
"Number","Requests","Total requests","Belgium","Slovakia",2014-01-01,14,"SK"
"Number","Requests","Total requests","Belgium","United Kingdom",2014-01-01,29,"UK"
"Number","Requests","Total requests","Bulgaria","Austria",2014-01-01,6,"AT"
"Number","Requests","Total requests","Bulgaria","Belgium",2014-01-01,14,"BE"
"Number","Requests","Total requests","Bulgaria","Bulgaria",2014-01-01,0,"BG"
"Number","Requests","Total requests","Bulgaria","Switzerland",2014-01-01,33,"CH"
"Number","Requests","Total requests","Bulgaria","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Bulgaria","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Bulgaria","Germany (until 1990 former territory of the FRG)",2014-01-01,13,"DE"
"Number","Requests","Total requests","Bulgaria","Denmark",2014-01-01,7,"DK"
"Number","Requests","Total requests","Bulgaria","Estonia",2014-01-01,0,"EE"
"Number","Requests","Total requests","Bulgaria","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Bulgaria","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Bulgaria","Finland",2014-01-01,2,"FI"
"Number","Requests","Total requests","Bulgaria","France",2014-01-01,3,"FR"
"Number","Requests","Total requests","Bulgaria","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Bulgaria","Hungary",2014-01-01,0,"HU"
"Number","Requests","Total requests","Bulgaria","Ireland",2014-01-01,0,"IE"
"Number","Requests","Total requests","Bulgaria","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Bulgaria","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Bulgaria","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Bulgaria","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Bulgaria","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Bulgaria","Latvia",2014-01-01,0,"LV"
"Number","Requests","Total requests","Bulgaria","Malta",2014-01-01,0,"MT"
"Number","Requests","Total requests","Bulgaria","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Bulgaria","Norway",2014-01-01,7,"NO"
"Number","Requests","Total requests","Bulgaria","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Bulgaria","Portugal",2014-01-01,0,"PT"
"Number","Requests","Total requests","Bulgaria","Romania",2014-01-01,4,"RO"
"Number","Requests","Total requests","Bulgaria","Sweden",2014-01-01,0,"SE"
